"","DGRO","EDEN","EIRL","EWGS","EWN","EWO","HEWG","HEZU","IAI","IAK","IAT","IEUS","IGV","IHI","IJK","IJR","IJT","ITA","ITB","IUSG","IVV","IVW","IWF","IWL","IWY","IXN","IYF","IYG","IYJ","IYW","JKD","JKE","JPMV","MCHI","MTUM","QUAL","SCJ","SMIN","SOXX","USMV","WOOD"
"IAT",0.90331581838308,0.0639618641605895,0.607055018957817,0.694935481148505,0.730188487157348,0.796495531443382,0.916148312508229,0.876928081341211,0.977793909421285,0.971043498323559,1,0.710430888996881,-0.7534060059927,0.786152051160475,0.911407110744502,0.956521399011696,0.952339611681456,0.894351002170322,0.766352244659021,0.862082321413297,0.905614219329754,0.848833667225585,0.848395078406784,0.903235371403879,0.840326142610387,0.851059825746766,0.966931716608749,0.979195969862624,0.917720034333585,0.875752312074588,0.90928896094758,0.813511299999882,0.656224736828555,0.752087985812924,0.769135599703864,0.879561188091496,0.817221494242759,0.877698666708353,0.906270341088064,0.839931687534138,0.890661776345016
"IEUS",0.885837812306591,0.125291959883605,0.956888428868546,0.975858602494311,0.986105215854084,0.968811406789193,0.870158764351691,0.918583164471125,0.810209922826338,0.828345847349733,0.710430888996881,1,-0.679346456310209,0.902023996577542,0.855124078832113,0.76978811352273,0.804441489988942,0.902139377446493,0.921319311990025,0.930697100217961,0.892607231737207,0.935591479907298,0.938407405171477,0.901909670303928,0.944418405813964,0.930093877135794,0.839883097044292,0.819983345817301,0.87293279104867,0.915482579581458,0.889692021179693,0.957475837510412,0.87096507179876,0.930695136273743,0.945010492938315,0.903130225051821,0.911666474678224,0.69051803437749,0.883378490744244,0.878867529339825,0.925060669405043
"IGV",-0.839354282316616,0.133020284197378,-0.52155029300608,-0.708306633828535,-0.718988486181295,-0.737431999423766,-0.786336593230433,-0.752567609942297,-0.778195723677323,-0.804400753839416,-0.7534060059927,-0.679346456310209,1,-0.852787288828894,-0.848634325410724,-0.826686883835689,-0.836472006505322,-0.803480015261253,-0.752397070462442,-0.826077920258103,-0.841118651231942,-0.823816181572908,-0.81554543537936,-0.836257614847498,-0.809480896345825,-0.818539020109003,-0.799001826752214,-0.769103911650455,-0.839124127735651,-0.829173024926878,-0.852743550131588,-0.792805975454947,-0.745522483575901,-0.757590078336644,-0.781888072850831,-0.8164379084203,-0.802517725600719,-0.8699476681589,-0.833542213175509,-0.875627877858167,-0.790246668332104
"IHI",0.956258109589147,-0.0386276638745772,0.794916231609832,0.925193553707261,0.921512257040511,0.915633894683548,0.893654451945977,0.891347991347553,0.861256905802424,0.891515751300545,0.786152051160475,0.902023996577542,-0.852787288828894,1,0.953371706534983,0.883915183691842,0.906952712239941,0.938771007946677,0.940188642352359,0.97123570028767,0.960743409239035,0.974131341318383,0.968940841456575,0.960168638699343,0.965020336832953,0.958954507549703,0.900283231543242,0.863925526734791,0.945129472090849,0.955018007501328,0.963736487132347,0.965046774191499,0.935212817427204,0.939117632755709,0.961915249563518,0.956941109927779,0.964897496273264,0.859011670764152,0.939643390049493,0.969470528176136,0.941018015251021
"IJK",0.991037174764293,-0.020340237421865,0.745611040100922,0.864278239380203,0.871611301884999,0.891509650183868,0.942732877290276,0.917766909465969,0.948072517208345,0.96740092631904,0.911407110744502,0.855124078832113,-0.848634325410724,0.953371706534983,1,0.977742958929317,0.985679654613506,0.966940134001768,0.93320022920904,0.975988916637933,0.992069880184338,0.971145842386988,0.9686886866007,0.98749926043275,0.959485160831331,0.955793371164337,0.97433010084371,0.950522037411587,0.99077761705299,0.964542384719876,0.987542930375996,0.947196414788776,0.874095041451783,0.899407958498143,0.929619885759048,0.984656024760042,0.94643767884966,0.897751153900261,0.972129717958827,0.966294497734016,0.967867641695096
"IJR",0.960641212764085,-0.0112649965703034,0.647252595845482,0.777333738351735,0.789198508936387,0.832985354249102,0.921104780078637,0.879470308528372,0.966261410677281,0.973403205288359,0.956521399011696,0.76978811352273,-0.826686883835689,0.883915183691842,0.977742958929317,1,0.996861732820596,0.941649786326744,0.860728840515298,0.926515645377369,0.961462113003351,0.916517612894237,0.914259981650654,0.954460687397093,0.901559681620238,0.907609722211701,0.976590784909961,0.96427473068346,0.973666638569828,0.923531040463645,0.957488628480533,0.879950888463557,0.7914106342191,0.83678247140388,0.855770731829988,0.945405161192757,0.894075673359689,0.913028730828428,0.94914588953727,0.915147199583894,0.935803410446106
"IJT",0.972202029049295,0.00570205888140147,0.687759694393184,0.811397013476153,0.822257223175908,0.861579559519722,0.937233432015192,0.902097958898165,0.972310129982431,0.978695379361484,0.952339611681456,0.804441489988942,-0.836472006505322,0.906952712239941,0.985679654613506,0.996861732820596,1,0.956474041472789,0.885492593121778,0.947121173482029,0.974045446835126,0.93808737622847,0.936072578873754,0.968959628324428,0.925385962332296,0.930287385796165,0.982937028736119,0.970342890666615,0.981811707498921,0.944158466177563,0.971318470154425,0.9067857888994,0.81258399881347,0.864359140875538,0.883809042586937,0.960238649250487,0.913468824443577,0.911386935310791,0.964338889372791,0.931285854961716,0.952555142291649
"ITA",0.983028714340867,0.0721547893675816,0.810364234517007,0.924843117846241,0.921835104943638,0.951060256860868,0.923439089430542,0.924906451488629,0.955610413106052,0.963730823444777,0.894351002170322,0.902139377446493,-0.803480015261253,0.938771007946677,0.966940134001768,0.941649786326744,0.956474041472789,1,0.944627129854905,0.983096618120582,0.983639571508202,0.980095062485588,0.981484885476857,0.986131543584063,0.978452712991475,0.977110952779339,0.973150008728163,0.959113604740232,0.985669282881542,0.975915341190755,0.980170767091213,0.969043343722011,0.88553142593103,0.949911954541347,0.963164433808519,0.97976720540837,0.966740406542978,0.837231729605455,0.980140405237549,0.945518344051306,0.989825279027214
"ITB",0.950038346259382,0.0565120538164751,0.86392128191636,0.945200632452155,0.931379205086283,0.925472130919715,0.879728204772417,0.892535650406933,0.859665239552522,0.878313134893353,0.766352244659021,0.921319311990025,-0.752397070462442,0.940188642352359,0.93320022920904,0.860728840515298,0.885492593121778,0.944627129854905,1,0.968104515962447,0.947381134868563,0.96991874026657,0.973967904192104,0.951354243932768,0.972949336066302,0.957381818055638,0.895099568779425,0.86672198173887,0.934228871427701,0.948219218471404,0.934500853316217,0.972944577534176,0.919337299755671,0.945425755653116,0.980338044573308,0.967415545528526,0.946830283866847,0.730235933461123,0.935554627374765,0.924088084375965,0.952887411521901
"IUSG",0.988513616715396,0.0531020774127452,0.843772223241579,0.943972113559368,0.948710758012144,0.959675622200915,0.942234885241548,0.945592490952253,0.9315001847695,0.948553399466109,0.862082321413297,0.930697100217961,-0.826077920258103,0.97123570028767,0.975988916637933,0.926515645377369,0.947121173482029,0.983096618120582,0.968104515962447,1,0.992035255627973,0.999183357177992,0.998861935067659,0.994334613349158,0.996984864795506,0.991275248034108,0.957537030289469,0.935248977349013,0.981305881939404,0.990760765029949,0.989728278676998,0.992464979907233,0.914243628179294,0.958697329131573,0.980184831945689,0.992466462089378,0.97664693431109,0.846484885124554,0.981912816365617,0.970130542599302,0.98805086275991
