time_elapse,num_etfs_remaining,prop_etfs_remaining
total,348,1
year_to_date,333,0.9568965517241379
1_year,331,0.9511494252873564
3_years,263,0.7557471264367817
5_years,223,0.6408045977011494
10_years,137,0.3936781609195402
